Periodo,Categoria,Comuna,Propuesta,Votos,lat,lng,color
2018,Seguridad,Comuna 10,Mas Seguridad,358,-34.625,-58.5115,#E06658
2018,Movilidad y transito,Comuna 10,Arreglo de ve#E06658as en victor Hugo al 600,53,-34.6332,-58.5059,#86A0DB
2018,Plazas y parques,Comuna 9,Participacion de la Comuna 9 en la Noche de los Museos,46,-34.6526,-58.5085,#85E45D
2018,Plazas y parques,Comuna 10,Poner mas juegos plaza ,119,-34.6264,-58.5082,#85E45D
2018,Movilidad y transito,Comuna 10,Estaciones de ECOBICICLETAS en Floresta,240,-34.6293,-58.4822,#86A0DB
2018,Movilidad y transito,Comuna 6,Luminarias calles Emilio Mitre y Av del Barco Centenera,358,-34.6395,-58.4373,#86A0DB
2018,Movilidad y transito,Comuna 10,Iluminacion barrio de Villa Luro,294,-34.6378,-58.5014,#86A0DB
2018,Seguridad,Comuna 10,CaMARAS DE Seguridad EN FLORESTA,266,-34.6277,-58.484,#E06658
2018,Seguridad,Comuna 10,Camaras de Seguridad para el barrio de Versalles,239,-34.6276,-58.5246,#E06658
2019,Seguridad,Comuna 10,Camaras de Seguridad barrio de floresta,129,-34.626,-58.5067,#E06658
2019,Seguridad,Comuna 10,Seguridad Villa del Parque,146,-34.6066,-58.4957,#E06658
2017,Plazas y parques,Comuna 11,Plaza arenales inclusion a personas con discapacidades,361,-34.5994,-58.5118,#85E45D
2017,Educacion,Comuna 11,Paneles solares en institucione s educativas de gestion publica,511,-34.6082,-58.5175,#DDD7A9
2017,Movilidad y transito,Comuna 11,Se?alizacion electronica paradas de colectivos,497,-34.6001,-58.50982,#86A0DB
2017,Deportes y calidad de vida,Comuna 11,Promocion de la actividad fisica,359,-34.5997,-58.5117,#9DDBDF
2017,Movilidad y transito,Comuna 11,Instalacion de semaforo en avenida beiro y quevedo,413,-34.6105,-58.5194,#86A0DB
2017,Educacion,Comuna 11,Puesta en valor del colegio agustin p nores,277,-34.614,-58.5236,#DDD7A9
2017,Reciclado,Comuna 11,Limpieza semanal a los contenedores,424,-34.6046,-58.51625,#7B9787
2017,Plazas y parques,Comuna 11,Espacios recreativos y jardines al costado de las vias del tren,486,-34.6017,-58.4965,#85E45D
2017,Ferias y Mercados,Comuna 11,Feria permanente de abastecimient o barrial,328,-34.5987,-58.5122,#9573D9
2017,Deportes y calidad de vida,Comuna 11,Campa?a voluntaria,238,-34.5956,-58.51754,#9DDBDF
2017,Educacion,Comuna 11,Generador eolico en escueles tecnicas,437,-34.5961,-58.4997,#DDD7A9
2018,Deportes y calidad de vida,Comuna 11,Actividades recreativas en las distintas plazas del barrio,318,-34.605,-58.4928,#9DDBDF
2018,Seguridad,Comuna 11,Colocar camaras Villa Devoto y Villa Del Parque,431,-34.6008,-58.5032,#E06658
2018,Movilidad y transito,Comuna 11,REPARACION DE VE#E06658A VILLA SANTA RITA,166,-34.6165,-58.4821,#86A0DB
2018,Movilidad y transito,Comuna 11,Puesta en valor de las ve#E06658as de villa del parque,154,-34.6019,-58.494,#86A0DB
2018,Movilidad y transito,Comuna 11,Colocacion de parada linea 114,96,-34.6037,-58.5083,#86A0DB
2018,Movilidad y transito,Comuna 11,Rampa calle lavallol esquina Cervantes,93,-34.6166,-58.4859,#86A0DB
2018,Seguridad,Comuna 11,Seguridad,369,-34.6087,-58.4991,#E06658
2018,Seguridad,Comuna 11,Pedido de camaras Seguridad policial en beiro y gualeguayche,226,-34.605,-58.5104,#E06658
2018,Seguridad,Comuna 11,Mas camaras de Seguridad en el barrio de Villa Devoto,348,-34.5999,-58.5165,#E06658
2018,Seguridad,Comuna 11,camaras de Seguridad calle Cuenca del barrio de Villa del Parque,273,-34.6006,-58.4958,#E06658
2018,Movilidad y transito,Comuna 11,Refugios  con asientos y senalizacion en la parada del linea 113 de la av gaoana y Gavilan,185,-34.6163,-58.4658,#86A0DB
2018,Seguridad,Comuna 11,Seguridad,457,-34.6159,-58.4725,#E06658
2018,Seguridad,Comuna 11,CAMARAS DE Seguridad EN VILLA DEL PARQUE EN LA ZONA DE LAS VIAS Y PARQUES,346,-34.603,-58.4998,#E06658
2018,Mascotas,Comuna 11,Bolsas para residuos de mascotas barrio de Villa Devoto,255,-34.6021,-58.5139,#D6D45C
2018,Movilidad y transito,Comuna 11,Reparacion de ve#E06658as  ubicada en la calle Alf#E06658o Bufano al 2161,73,-34.6116,-58.4724,#86A0DB
2018,Movilidad y transito,Comuna 11,arrelgos de ve#E06658as av lastra 3792,85,-34.6081,-58.5209,#86A0DB
2018,Seguridad,Comuna 11,Seguridad Nasca y Nogoya,236,-34.6016,-58.4897,#E06658
2018,Plazas y parques,Comuna 11,Puesta en valor de la Plazoleta Lincoln y Pedro Moran,138,-34.6,-58.5081,#85E45D
2018,Seguridad,Comuna 11,Seguridad EN VILLA DEL PARQUE del ferrocarril de SAN MARTIN,289,-34.6015,-58.4952,#E06658
2018,Deportes y calidad de vida,Comuna 11,Mas actividades en las plazas Plaza Aristobulo del valle,231,-34.6057,-58.4929,#9DDBDF
2018,Seguridad,Comuna 11,Camara de Seguridad domo Av Alvarez Jonte y Av Nazca en Villa del Parque,258,-34.609,-58.4834,#E06658
2018,Seguridad,Comuna 11,Camaras de Seguridad calle Pedro Moran en el barrio de Villa Devoto,239,-34.6044,-58.5151,#E06658
2018,Seguridad,Comuna 11,Camaras de Seguridad villa del parque,294,-34.6103,-58.4927,#E06658
2018,Seguridad,Comuna 11,Camaras en Condarco Terrada,169,-34.6021,-58.4876,#E06658
2018,Arte urbano,Comuna 11,Soy muralista y quisiera mejorar los espacios pintando murales,264,-34.6064,-58.5052,BB45E0
2018,Movilidad y transito,Comuna 11,Arreglar Calles,274,-34.6062,-58.4992,#86A0DB
2018,Plazas y parques,Comuna 11,Juegos y seguridad para Plaza Pappo,137,-34.6106,-58.467,#85E45D
2018,Seguridad,Comuna 11,Camara de Seguridad   Camarones y Condarco,197,-34.6111,-58.4781,#E06658
2019,Seguridad,Comuna 11,Seguridad,129,-34.6203,-58.5042,#E06658
2019,Seguridad,Comuna 11,camaras,151,-34.6319,-58.4902,#E06658
2019,Plazas y parques,Comuna 11,Plaza Aristobulo del Valle arreglar cancha,116,-34.6055,-58.4929,#85E45D
2017,Plazas y parques,Comuna 12,Pista de ciclismo en el parque sarmiento,615,-34.56,-58.4982,#85E45D
2017,Cultura,Comuna 12,Ayudas para hipoacusicos eliminando barreras,327,-34.5763,-58.4835,#87E2A8
2017,Movilidad y transito,Comuna 12,Se?alizacion electronica paradas de colectivos,469,-34.5546,-58.4867,#86A0DB
2017,Reciclado,Comuna 12,Programa de puntos rewards   basura cero,522,-34.5683,-58.4998,#7B9787
2017,Innovacion,Comuna 12,Wi fi libre,310,-34.5614,-58.4989,#DAB6CB
2017,Movilidad y transito,Comuna 12,Colocacion de semaforo en calle altolaguirr e cruce con olazabal,483,-34.5786,-58.4895,#86A0DB
